,name,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,VID_20191018_081835,0.9292929999999999,0.945801,0.9398179999999999,0.885416,0.8303309999999999,0.875466,0.8732169999999999,0.869601,0.9676389999999999,0.9026200000000001,0.8780549999999999,0.9486089999999999,0.948588,0.862628,0.9197029999999999,0.905577,0.9347219999999999,0.775285,0.8334349999999999,0.741352,0.7743709999999999,0.681012,0.872097,0.8446279999999999,0.84713
1,VID_20191021_212345,0.916586,0.9129339999999999,0.903662,0.840899,0.88573,0.917715,0.8101069999999999,0.8462700000000001,0.9059149999999999,0.882269,0.879166,0.972476,0.901179,0.840229,0.8599749999999999,0.84184,0.95798,0.564839,0.8463100000000001,0.781397,0.8364079999999999,0.7406229999999999,0.782115,0.7930149999999999,0.855521
9,GOPR1201_1543567609295_high,0.9574469999999999,0.9734259999999999,0.976665,0.867231,0.848703,0.911839,0.901987,0.9201849999999999,0.8936600000000001,0.932105,0.908767,0.876919,0.899323,0.9457209999999999,0.920547,0.74692,0.9565089999999999,0.0,0.9104909999999999,0.923738,0.936116,0.8391989999999999,0.802758,0.8403269999999999,0.7684200000000001
17,VID_20191021_220315,0.926333,0.966939,0.861776,0.7725000000000001,0.6827369999999999,0.923809,0.8627809999999999,0.71423,0.873057,0.8624259999999999,0.8565200000000001,0.853136,0.908509,0.936085,0.89734,0.945793,0.912824,0.9205319999999999,0.50656,0.7591439999999999,0.773189,0.7951349999999999,0.8442500000000001,0.819885,0.794311
19,VID_20191021_214728,0.951665,0.931489,0.934669,0.928346,0.882664,0.922045,0.8384269999999999,0.8956409999999999,0.9016919999999999,0.877474,0.9149149999999999,0.8504689999999999,0.931426,0.9415659999999999,0.845652,0.6529579999999999,0.963258,0.0,0.935163,0.800658,0.8019839999999999,0.807735,0.786957,0.739825,0.818452
21,VID_20191116_192205,0.974026,0.926948,0.9283859999999999,0.873315,0.902586,0.8442069999999999,0.890509,0.7540049999999999,0.9482800000000001,0.946807,0.9237369999999999,0.8543959999999999,0.9100239999999999,0.938622,0.911469,0.971761,0.962811,0.884114,0.8780249999999999,0.78115,0.7875249999999999,0.744441,0.7931509999999999,0.826229,0.802149
25,VID_20191021_212532,0.905983,0.930184,0.906424,0.8617300000000001,0.859374,0.924634,0.8214739999999999,0.8783829999999999,0.8875600000000001,0.8700700000000001,0.926404,0.8853989999999999,0.90995,0.8690289999999999,0.842105,0.863082,0.9370689999999999,0.785086,0.825564,0.6654329999999999,0.5980679999999999,0.750516,0.822091,0.773312,0.8639789999999999
26,VID_20191021_220354,0.912912,0.901507,0.9413509999999999,0.746718,0.7379479999999999,0.9203049999999999,0.799195,0.755016,0.894774,0.867026,0.897191,0.7952819999999999,0.847367,0.827869,0.804288,0.944577,0.9612419999999999,0.73714,0.7898000000000001,0.7699229999999999,0.781793,0.714213,0.745034,0.738709,0.7375539999999999
30,VID_20180119_082614898,0.9047100000000001,0.988074,0.9889669999999999,0.8695700000000001,0.937719,0.9230339999999999,0.8659589999999999,0.85006,0.9460609999999999,0.872118,0.9377019999999999,0.931438,0.844873,0.920867,0.936129,0.9139800000000001,0.140092,0.9763449999999999,0.20971499999999998,0.695526,0.7017639999999999,0.871759,0.7154619999999999,0.801176,0.8524189999999999
32,VID_20191021_212458,0.896744,0.9766119999999999,0.981159,0.9015949999999999,0.7740900000000001,0.913242,0.8678049999999999,0.76973,0.9114789999999999,0.8790709999999999,0.9757300000000001,0.850976,0.892257,0.959737,0.9475669999999999,0.717909,0.868448,0.0,0.925643,0.8377589999999999,0.8454229999999999,0.7275079999999999,0.7052069999999999,0.7021419999999999,0.785415
34,VID_20191018_081933,0.9206979999999999,0.954986,0.9243039999999999,0.911227,0.8012349999999999,0.939117,0.8750049999999999,0.886021,0.944869,0.937376,0.9264519999999999,0.8501879999999999,0.880647,0.8804449999999999,0.843231,0.876825,0.9021889999999999,0.745873,0.7797609999999999,0.514867,0.49548000000000003,0.610179,0.7197279999999999,0.7338509999999999,0.754734
39,VID_20191021_220427,0.810781,0.89812,0.9308259999999999,0.7219089999999999,0.509185,0.931082,0.823434,0.714148,0.955472,0.9288959999999999,0.8588100000000001,0.9282769999999999,0.9183009999999999,0.913523,0.8141459999999999,0.774237,0.837679,0.705727,0.694726,0.740591,0.7612629999999999,0.747057,0.9939159999999999,0.946916,0.8405929999999999
40,VID_20181214_080650,0.9187489999999999,0.951391,0.903079,0.865887,0.936368,0.8792979999999999,0.8460409999999999,0.66163,0.8617429999999999,0.9014749999999999,0.9328219999999999,0.891874,0.8244819999999999,0.884663,0.885624,0.7266889999999999,0.93566,0.0,0.9707619999999999,0.902106,0.893979,0.770385,0.785295,0.730201,0.844548
45,VID_20191116_190331,0.9720749999999999,0.866123,0.901899,0.8988959999999999,0.883751,0.874363,0.842204,0.885462,0.931095,0.963996,0.837718,0.9066900000000001,0.9470909999999999,0.8681289999999999,0.882173,0.83201,0.9663700000000001,0.230282,0.876366,0.706428,0.709811,0.693854,0.8882329999999999,0.895084,0.7406429999999999
46,VID_20180302_080151554,0.852741,0.932338,0.9127069999999999,0.854598,0.70008,0.9158379999999999,0.923839,0.7627849999999999,0.916917,0.923512,0.9679829999999999,0.898629,0.925009,0.9496049999999999,0.927068,0.8735539999999999,0.856707,0.7245189999999999,0.6947709999999999,0.8648939999999999,0.845657,0.8211600000000001,0.8259329999999999,0.8356969999999999,0.825079
48,VID_20190322_083222,0.9328369999999999,0.9751909999999999,0.928777,0.934943,0.8875419999999999,0.940576,0.905671,0.915496,0.9027339999999999,0.934317,0.914825,0.914257,0.9591959999999999,0.906048,0.855085,0.915489,0.908496,0.6560539999999999,0.792014,0.8576809999999999,0.8483069999999999,0.8018639999999999,0.756558,0.771937,0.8290179999999999
52,VID_22121027_010927_580,0.911609,0.976155,0.877772,0.881902,0.773331,0.927269,0.846467,0.8602679999999999,0.929539,0.921906,0.914462,0.8022929999999999,0.8868429999999999,0.890586,0.8474119999999999,0.8372269999999999,0.947016,0.0,0.939341,0.6466419999999999,0.7055600000000001,0.668724,0.6937989999999999,0.729391,0.665457
54,VID_20181214_083254,0.89692,0.87402,0.902192,0.804767,0.8308679999999999,0.882432,0.860579,0.815305,0.893729,0.887327,0.916843,0.853687,0.8823900000000001,0.971738,0.901399,0.882029,0.959665,0.7884500000000001,0.8810100000000001,0.7277509999999999,0.7795700000000001,0.882413,0.674798,0.6344839999999999,0.8676900000000001
55,VID_20191018_081953,0.933426,0.9432079999999999,0.8971389999999999,0.948282,0.9712600000000001,0.935039,0.9000969999999999,0.878791,0.971182,0.976896,0.938947,0.883671,0.9252500000000001,0.930681,0.8898149999999999,0.880358,0.967904,0.17939000000000002,0.964262,0.789828,0.830568,0.843892,0.8004129999999999,0.793334,0.774581
57,VID_20191021_220229,0.889436,0.9375249999999999,0.911936,0.912276,0.8146869999999999,0.9164589999999999,0.757636,0.753531,0.9203859999999999,0.9191889999999999,0.966692,0.826638,0.902809,0.9361259999999999,0.8641900000000001,0.8721859999999999,0.895486,0.6776679999999999,0.557122,0.810757,0.799321,0.7769389999999999,0.7970729999999999,0.7678229999999999,0.756119
60,VID_20191018_081759,0.874088,0.8751200000000001,0.899922,0.490452,0.25443899999999997,0.900543,0.843866,0.7728919999999999,0.926341,0.917531,0.860776,0.982217,0.858467,0.922005,0.924651,0.852557,0.7815000000000001,0.678093,0.482813,0.815979,0.8413900000000001,0.8178059999999999,0.899907,0.8957579999999999,0.851344
62,VID_20190922_193049,0.9078879999999999,0.959685,0.9368719999999999,0.8459909999999999,0.875733,0.8909469999999999,0.6918139999999999,0.548299,0.8986409999999999,0.9142939999999999,0.858873,0.9324049999999999,0.890245,0.864088,0.8880659999999999,0.954425,0.954461,0.893635,0.903153,0.7636259999999999,0.780735,0.747131,0.872613,0.8387249999999999,0.840143
